Date,Adj Close
10/18/2010,83.23
10/15/2010,83.21
10/14/2010,83.18
10/13/2010,83.22
10/12/2010,83.21
10/11/2010,83.27
10/8/2010,83.26
10/7/2010,83.26
10/6/2010,83.19
10/5/2010,83.18
10/4/2010,83.14
10/1/2010,83.13
9/30/2010,83.12
9/29/2010,83.11
9/28/2010,83.13
9/27/2010,83.11
9/24/2010,83.09
9/23/2010,83.1
9/22/2010,83.09
9/21/2010,83.1
9/20/2010,83.04
9/17/2010,83.03
9/16/2010,83.01
9/15/2010,82.99
9/14/2010,82.97
9/13/2010,82.91
9/10/2010,82.84
9/9/2010,82.85
9/8/2010,82.94
9/7/2010,83
9/3/2010,82.91
9/2/2010,82.95
9/1/2010,82.97
8/31/2010,83.02
8/30/2010,82.99
8/27/2010,82.89
8/26/2010,82.95
8/25/2010,82.95
8/24/2010,83.03
8/23/2010,82.97
8/20/2010,82.96
8/19/2010,82.99
8/18/2010,82.97
8/17/2010,82.95
8/16/2010,82.97
8/13/2010,82.89
8/12/2010,82.9
8/11/2010,82.92
8/10/2010,82.9
8/9/2010,82.86
8/6/2010,82.91
8/5/2010,82.89
8/4/2010,82.79
8/3/2010,82.86
8/2/2010,82.8
7/30/2010,82.82
7/29/2010,82.78
7/28/2010,82.71
7/27/2010,82.63
7/26/2010,82.68
7/23/2010,82.71
7/22/2010,82.75
7/21/2010,82.78
7/20/2010,82.74
7/19/2010,82.71
7/16/2010,82.74
7/15/2010,82.66
7/14/2010,82.64
7/13/2010,82.56
7/12/2010,82.61
7/9/2010,82.6
7/8/2010,82.63
7/7/2010,82.62
7/6/2010,82.63
7/2/2010,82.63
7/1/2010,82.63
6/30/2010,82.66
6/29/2010,82.68
6/28/2010,82.64
6/25/2010,82.59
6/24/2010,82.56
6/23/2010,82.54
6/22/2010,82.48
6/21/2010,82.44
6/18/2010,82.43
6/17/2010,82.42
6/16/2010,82.38
6/15/2010,82.36
6/14/2010,82.4
6/11/2010,82.38
6/10/2010,82.29
6/9/2010,82.4
6/8/2010,82.39
6/7/2010,82.4
6/4/2010,82.42
6/3/2010,82.24
6/2/2010,82.26
6/1/2010,82.32
5/28/2010,82.32
5/27/2010,82.16
5/26/2010,82.22
5/25/2010,82.29
5/24/2010,82.3
5/21/2010,82.31
5/20/2010,82.36
5/19/2010,82.27
5/18/2010,82.31
5/17/2010,82.22
5/14/2010,82.25
5/13/2010,82.14
5/12/2010,82.09
5/11/2010,82.11
5/10/2010,82.06
5/7/2010,82.17
5/6/2010,82.2
5/5/2010,82.02
5/4/2010,81.91
5/3/2010,81.86
4/30/2010,81.94
4/29/2010,81.85
4/28/2010,81.83
4/27/2010,81.85
4/26/2010,81.69
4/23/2010,81.69
4/22/2010,81.72
4/21/2010,81.78
4/20/2010,81.77
4/19/2010,81.76
4/16/2010,81.84
4/15/2010,81.71
4/14/2010,81.65
4/13/2010,81.65
4/12/2010,81.67
4/9/2010,81.63
